ID,ADI,DURAK_KODU,geometry
392,MERCAN YUVASI,225972,POINT (29.2763499999941 40.8183030005252)
393,DENİZ HARP OKULU,225981,POINT (29.266183999994 40.8140130005245)
394,ŞEKER SOKAK,227161,POINT (29.3429089999946 40.8837970005355)
398,EGEMENLİK CADDESİ,228381,POINT (29.3517150000085 40.8281299991206)
402,İNÖNÜ CADDESİ,228401,POINT (29.3586189999948 40.8285630005268)
404,EMİROĞLU CADDESİ,228411,POINT (29.3613329999948 40.8310310005272)
411,MUHTARLIK,228452,POINT (29.3592879849548 40.8394929947744)
415,İSKİ TESİSLERİ,228651,POINT (29.2923689999942 40.8272520005255)
416,İSKİ TESİSLERİ,228652,POINT (29.2921199999942 40.8272620005266)
423,ORHANLI İTFAİYESİ,229021,POINT (29.3520749999947 40.886301000536)
424,ORHANLI İTFAİYESİ,229022,POINT (29.3518119999947 40.8864070005359)
428,ANTENTEPE,229062,POINT (29.399132999995 40.9146790005404)
430,KİRAZTEPE,229072,POINT (29.397395999995 40.9124880005401)
433,YUNUS EMRE,229131,POINT (29.391281000008 40.9187399991186)
434,YUNUS EMRE,229132,POINT (29.391470000008 40.9187029991186)
440,KORU EVLERİ,229162,POINT (29.3882209999949 40.9396460005443)
1222,KAYNARCA,228152,POINT (29.2632839100095 40.8768309591195)
244,TUNA CADDESİ,209591,POINT (29.3714000000082 40.8615999991198)
280,MEHMETÇİK VAKFI,211151,POINT (29.3486109999946 40.9202110005412)
76,ŞEHİT İLHAN KARTAL ANADOLU LİSESİ,205511,POINT (29.3705699699563 40.8595821843159)
125,GALATASARAYLILAR SİTESİ,207621,POINT (29.3166050000089 40.8235319991206)
331,AKDENİZ SOKAK,212862,POINT (29.396147999995 40.8985060005379)
293134,GÖZTEPE,220612,POINT (29.080524999991 41.0813630005669)
292997,ÇUBUKLU,219492,POINT (29.0835779999909 41.106833000571)
292959,KAVACIK SAPAĞI,218871,POINT (29.0905359999911 41.088525000568)
508825,BAŞAKPAZAR,123932,POINT (28.8100799999829 41.1113960005714)
509266,ORTADAĞ,214552,POINT (29.2146629999931 40.9545840005467)
508923,BOĞAZKÖY  ORTAOKULU,127481,POINT (28.6617219999733 41.0805070005661)
509583,CİHANGİR MAHALLESİ,127911,POINT (28.7133009999778 40.9906130005519)
509584,CİHANGİR MAHALLESİ,127912,POINT (28.7138379999778 40.9909100005519)
509586,PARK,128371,POINT (28.7202839999778 40.9794870005498)
509587,BALIKLIYOLU CADDESİ,128451,POINT (28.7015849999767 41.0313240005583)
509590,TURGUT ÖZAL MAHALLESİ,130411,POINT (28.7015659999768 41.0095280005548)
509591,TURGUT ÖZAL MAHALLESİ,130412,POINT (28.7012889999768 41.0101140005549)
509593,HASTANE,130672,POINT (28.7058279999766 41.0063590005539)
509594,MUSTAFA KEMALPAŞA MAHALLESİ,130682,POINT (28.7074369999773 41.0049800005541)
509596,ÜNİVERSİTE MAHALLESİ,130692,POINT (28.7131359999777 40.9997420005533)
509598,AVCILAR İGDAŞ,130702,POINT (28.7139569999778 40.997766000553)
509600,ORHANGAZİ CADDESİ,130712,POINT (28.7097179999775 41.0031210005538)
509601,BORUSAN OTOMOTİV,130721,POINT (28.7161099999779 40.9940870005524)
293620,SALİHPAŞA,112962,POINT (29.0169000000117 41.2225389991121)
293621,USKUMRUKÖY,112971,POINT (29.0226449992847 41.220189972525)
293625,TOPÇULAR,112991,POINT (29.0280819512495 41.2210469729215)
291086,GÜRPINAR,127001,POINT (28.6150769999693 40.9905620005515)
579576,CİBALİ-KADİR HAS ÜNİVERSİTESİ,108272,POINT (28.9601009999886 41.0243130005576)
579578,BALİPAŞA,108582,POINT (28.9452189999882 41.0186130005567)
579579,İNEBEY,108881,POINT (28.9502349969637 41.0088629810843)
579580,İNEBEY,108882,POINT (28.9500809999884 41.0086370005551)
579583,KIZILELMA CADDESİ,109101,POINT (28.936868999988 41.0075410005549)
579584,FATİH TİCARET LİSESİ,109161,POINT (28.9318179540307 41.0206129726702)
579588,YENİKAPI MARMARAY,110231,POINT (28.9532379999885 41.0060570005547)
579591,BORSA İSTANBUL ZEYTİNBURNU ANADOLU LİSESİ,110641,POINT (28.9203689999876 40.9935820005527)
579592,GENÇOSMAN,133721,POINT (28.9313439999879 40.9996910005536)
579593,GENÇOSMAN,133724,POINT (28.9318028000114 41.0001335991168)
579598,EMİNÖNÜ KANTARCILAR,301051,POINT (28.9663769999888 41.0185790005567)
579600,VEZNECİLER,301071,POINT (28.9607419999886 41.0114990005556)
579603,YENİKAPI MARMARAY,301101,POINT (28.9537339999885 41.0051010005545)
579605,EMİNÖNÜ,302031,POINT (28.9649970000115 41.0202439991164)
579608,VEZNECİLER,302071,POINT (28.961100959763 41.0114749712215)
579609,EDİRNEKAPI,302081,POINT (28.9368569999879 41.0305200005586)
579612,AKSARAY PERON,302181,POINT (28.9482179999883 41.0110830005555)
579615,VEZNECİLER,304071,POINT (28.9601950258831 41.0118770331685)
579616,EMİNÖNÜ,304031,POINT (28.9656320000115 41.0199029991164)
579620,EMİNÖNÜ,308031,POINT (28.9657880000115 41.0197949991164)
802124,BÜYÜKÇEKMECE DEVLET HASTANESİ,103721,POINT (28.6065420467391 40.9960040084326)
802274,24.CADDE,180641,POINT (28.8086560081654 41.0700450273023)
802299,24.CADDE,180651,POINT (28.8086299998838 41.0697840339286)
802330,TOKİ AYAZMA İMAM HATİP ORTAOKULU,132251,POINT (28.786175977383 41.0779939775725)
802458,FIRAT SOKAK,102411,POINT (28.736365999979 41.0673860005642)
802641,TETAŞ,177881,POINT (28.6221110164326 41.0654109785195)
803209,SEFA KÖPRÜSÜ,-358,POINT (28.9205650192958 41.06767899696)
803309,KOCATEPE METRO,-359,POINT (28.8965330419266 41.0490250024506)
803756,ÇAKIROĞLU,115181,POINT (28.9970100084085 41.1088629888919)
580263,TAŞKÖPRÜ,215411,POINT (29.1573140409202 41.0282429726714)
579076,42 EVLER,123822,POINT (28.8581280000108 41.0720039991152)
579253,VEYSEL KARANİ CADDESİ,165111,POINT (28.8497740219072 41.0635730301376)
580298,ARMAĞANEVLER SİTELER,215851,POINT (29.1064019872267 41.007592044732)
580106,NECİP FAZIL KISAKÜREK,202922,POINT (29.1649199999924 41.0166110005566)
580340,DOĞANEVLER CADDESİ,216932,POINT (29.1374240058257 41.0132259995105)
579211,HZ.EBUBEKİR CAMİİ,131503,POINT (28.8681899999857 41.0352790005592)
579214,BESTE SOKAK,131692,POINT (28.8373479868796 41.0369179708469)
323,AYDINLI İLKOKULU,212311,POINT (29.3211069999944 40.8784810005346)
226,ERHAN SOKAK,260451,POINT (29.3661935396215 40.8544741132798)
265,TAHAFFUZHANE CADDESİ,210521,POINT (29.2983300000091 40.8181369991207)
305,PİYADE OKULU,212042,POINT (29.3282349999946 40.8276710005267)
16,ORHANLI MERKEZ,207951,POINT (29.3571380000084 40.8961619991191)
52,TELEFON SANTRALİ,209061,POINT (29.3220969999944 40.8694820005333)
142,TUZLA İSTASYONU,207781,POINT (29.3216989999945 40.8292940005269)
163,PEYAMİ SAFA İLKOKULU,207811,POINT (29.3082919999943 40.8505310005302)
388,CENGAVER SOKAK,225952,POINT (29.2833649999941 40.8180250005252)
407,NARİN SOKAK,228422,POINT (29.3602720126358 40.8377049763016)
363,İÇMELER KÖPRÜSÜ,225842,POINT (29.2982159999942 40.8497120005301)
